"Designator","Device","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Pins","Layer","Rotation","SMD","Comment","Name"
"Q1","2N3904(SOT-23)","SOT-23-3_L2.9-W1.3-P1.90-LS2.4-TR","27.432mm","40.502mm","27.432mm","40.502mm","28.682mm","41.452mm","3","T","0","Yes","2N3904(SOT-23)","2N3904(SOT-23)"
"Q2","2N3904(SOT-23)","SOT-23-3_L2.9-W1.3-P1.90-LS2.4-TR","27.559mm","23.103mm","27.559mm","23.103mm","28.809mm","24.053mm","3","T","0","Yes","2N3904(SOT-23)","2N3904(SOT-23)"
"Q3","2N3904(SOT-23)","SOT-23-3_L2.9-W1.3-P1.90-LS2.4-TR","27.813mm","5.715mm","27.813mm","5.715mm","29.063mm","6.665mm","3","T","0","Yes","2N3904(SOT-23)","2N3904(SOT-23)"
"Q4","2N3904(SOT-23)","SOT-23-3_L2.9-W1.3-P1.90-LS2.4-TR","27.051mm","-10.033mm","27.051mm","-10.033mm","28.301mm","-9.083mm","3","T","0","Yes","2N3904(SOT-23)","2N3904(SOT-23)"
"Q7","2N3904(SOT-23)","SOT-23-3_L2.9-W1.3-P1.90-LS2.4-TR","23.73mm","-26.374mm","23.73mm","-26.374mm","24.68mm","-27.624mm","3","T","270","Yes","2N3904(SOT-23)","2N3904(SOT-23)"
"Q8","2N3904(SOT-23)","SOT-23-3_L2.9-W1.3-P1.90-LS2.4-TR","7.601mm","-25.231mm","7.601mm","-25.231mm","8.551mm","-26.481mm","3","T","270","Yes","2N3904(SOT-23)","2N3904(SOT-23)"
"Q9","2N3904(SOT-23)","SOT-23-3_L2.9-W1.3-P1.90-LS2.4-TR","-9.163mm","-25.612mm","-9.163mm","-25.612mm","-8.213mm","-26.862mm","3","T","270","Yes","2N3904(SOT-23)","2N3904(SOT-23)"
"R14","CR1W-220K±5%-6T63","RES-TH_BD4.5-L11.0-P15.00-D0.7","15.748mm","-40.513mm","15.748mm","-40.513mm","15.748mm","-33.013mm","2","T","270","No","220kΩ","220kΩ"
"R15","CR1W-220K±5%-6T63","RES-TH_BD4.5-L11.0-P15.00-D0.7","-8.382mm","-42.164mm","-8.382mm","-42.164mm","-8.382mm","-34.664mm","2","T","270","No","220kΩ","220kΩ"
"R19","Res_0603","R0805_NEW","-32.512mm","19.939mm","-32.512mm","19.939mm","-33.478mm","19.939mm","2","T","0","Yes","5.1k","5.1k"
"R22","MFR0W4F220KA50","RES-TH_BD2.2-L6.5-P10.50-D0.6","-4.572mm","-42.672mm","-4.572mm","-42.672mm","-4.572mm","-47.922mm","2","T","90","No","2.2Ω","2.2Ω"
"R23","MFR0W4F220KA50","RES-TH_BD2.2-L6.5-P10.50-D0.6","-29.083mm","-41.402mm","-29.083mm","-41.402mm","-29.083mm","-46.652mm","2","T","90","No","2.2Ω","2.2Ω"
"C1","CAP_0603","C0805","0.254mm","-11.811mm","0.254mm","-11.811mm","0.961mm","-11.104mm","2","T","225","Yes","100nF","100nF"
"R1","1k","R0805_NEW","27.305mm","36.565mm","27.305mm","36.565mm","26.339mm","36.565mm","2","T","0","Yes","1k","1k"
"R2","1k","R0805_NEW","27.559mm","18.15mm","27.559mm","18.15mm","26.593mm","18.15mm","2","T","0","Yes","1k","1k"
"R3","1k","R0805_NEW","27.813mm","1.259mm","27.813mm","1.259mm","26.847mm","1.259mm","2","T","0","Yes","1k","1k"
"R4","1k","R0805_NEW","27.051mm","-14.478mm","27.051mm","-14.478mm","26.085mm","-14.478mm","2","T","0","Yes","1k","1k"
"R5","Res_0603","R0805_NEW","-1.016mm","-10.668mm","-1.016mm","-10.668mm","-0.333mm","-9.985mm","2","T","225","Yes","330","330"
"R6","Res_0603","R0805_NEW","-31.115mm","32.131mm","-31.115mm","32.131mm","-30.149mm","32.131mm","2","T","180","Yes","330","330"
"R16","1k","R0805_NEW","18.269mm","-25.739mm","18.269mm","-25.739mm","18.269mm","-24.773mm","2","T","270","Yes","1k","1k"
"R17","1k","R0805_NEW","2.267mm","-24.977mm","2.267mm","-24.977mm","2.267mm","-24.011mm","2","T","270","Yes","1k","1k"
"R18","1k","R0805_NEW","-13.608mm","-25.231mm","-13.608mm","-25.231mm","-13.608mm","-24.265mm","2","T","270","Yes","1k","1k"
"R20","Res_0603","R0805_NEW","-25.527mm","18.034mm","-25.527mm","18.034mm","-25.527mm","19mm","2","T","270","Yes","10K","10K"
"R21","Res_0603","R0805_NEW","-27.051mm","9.906mm","-27.051mm","9.906mm","-27.051mm","10.872mm","2","T","270","Yes","10K","10K"
"SW1","TSA010A2518A","SW-SMD_L4.0-W3.0-LS5.0","-22.733mm","18.288mm","-22.733mm","18.288mm","-22.733mm","16.088mm","2","T","90","Yes","TSA010A2518A","TSA010A2518A"
"SW2","TSA010A2518A","SW-SMD_L4.0-W3.0-LS5.0","-23.876mm","10.287mm","-23.876mm","10.287mm","-23.876mm","8.087mm","2","T","90","Yes","TSA010A2518A","TSA010A2518A"
"LED6","LED_0402-R","LED0805-RD_GREEN_C0805YGC","14.732mm","27.432mm","14.732mm","27.432mm","14.732mm","28.432mm","2","T","90","Yes","LED_0402-R","LED_0402-R"
"R25","Res_0603","R0805_NEW","-27.94mm","17.526mm","-27.94mm","17.526mm","-27.94mm","18.492mm","2","T","270","Yes","330","330"
